;r^2;esperence;Beta
9022.T;0.0;4.36;0.01
1925.T;0.03;4.42;0.02
3382.T;0.36;4.78;0.1
4519.T;0.0;4.34;0.0
9983.T;0.29;4.75;0.09
6861.T;1.11;5.18;0.19
4568.T;0.1;4.64;0.07
8766.T;0.21;4.72;0.09
5108.T;0.46;4.73;0.09
7974.T;0.23;4.71;0.08
6981.T;0.85;5.12;0.18
CSL.AX;0.0;4.31;-0.01
CBA.AX;0.79;4.78;0.1
BHP.AX;0.21;4.63;0.07
NAB.AX;0.33;4.62;0.06
ANZ.AX;0.65;4.72;0.09
WBC.AX;0.56;4.7;0.08
RIO.AX;0.03;4.44;0.02
WES.AX;1.41;4.93;0.14
WOW.AX;0.01;4.3;-0.01
MQG.AX;1.25;5.01;0.15
TCL.AX;0.35;4.57;0.05
STO.AX;0.02;4.44;0.02
AMC.AX;0.0;4.35;0.0
COL.AX;0.01;4.29;-0.01
IAG.AX;0.36;4.68;0.08
WDS.AX;0.03;4.46;0.03
ALL.AX;0.76;4.91;0.13
ORG.AX;1.35;5.22;0.2
FMG.AX;0.14;4.66;0.07
9988.HK;0.65;5.35;0.23
QBE.AX;0.09;4.52;0.04
1398.HK;0.43;4.68;0.08
0700.HK;0.98;5.28;0.21
0939.HK;0.22;4.59;0.06
1299.HK;0.0;4.35;0.0
0941.HK;0.02;4.39;0.01
2318.HK;0.63;5.15;0.18
2628.HK;0.29;4.86;0.12
0388.HK;0.68;5.06;0.16
0883.HK;0.26;4.72;0.09
0005.HK;0.47;4.76;0.1
2382.HK;1.27;5.87;0.35
1810.HK;0.96;5.44;0.25
0669.HK;0.46;5.05;0.16
0175.HK;0.91;5.42;0.25
U11.SI;0.19;4.51;0.04
D05.SI;0.29;4.57;0.05
Z74.SI;0.47;4.66;0.07
2330.TW;0.28;4.74;0.09
C6L.SI;0.47;4.63;0.07
2317.TW;0.01;4.39;0.01
2454.TW;0.2;4.75;0.09
2882.TW;0.0;4.33;-0.0
2308.TW;0.44;4.92;0.13
005930.KS;0.22;4.71;0.08
RELIANCE.NS;1.99;5.1;0.17
051910.KS;0.11;4.71;0.09
035420.KS;0.09;4.61;0.06
006400.KS;0.04;4.58;0.05
TCS.NS;2.38;5.14;0.18
000660.KS;0.48;5.14;0.18
O39.SI;0.1;4.45;0.03
HDFCBANK.NS;0.6;4.73;0.09
INFY.NS;1.21;5.01;0.15
ICICIBANK.NS;2.27;5.05;0.16
HINDUNILVR.NS;0.64;4.73;0.09
SBIN.NS;1.01;4.94;0.14
LT.NS;0.99;4.94;0.14
KOTAKBANK.NS;0.88;4.84;0.11
AXISBANK.NS;1.08;4.95;0.14
BAJFINANCE.NS;0.86;4.96;0.14
TITAN.NS;0.65;4.79;0.1
MARUTI.NS;1.21;4.95;0.14
WIPRO.NS;1.28;5.02;0.16
NESTLEIND.NS;0.37;4.62;0.06
SUNPHARMA.NS;0.35;4.62;0.06
TECHM.NS;1.49;5.14;0.18
POWERGRID.NS;0.44;4.75;0.09
NTPC.NS;0.57;4.81;0.11
VALE3.SA;7.31;6.26;0.44
HCLTECH.NS;1.45;5.03;0.16
BBDC4.SA;3.68;5.74;0.32
PETR4.SA;1.38;5.24;0.2
ABEV3.SA;2.54;5.21;0.2
B3SA3.SA;7.24;6.72;0.54
ITUB4.SA;5.21;5.61;0.29
WEGE3.SA;5.33;6.03;0.38
LREN3.SA;5.18;6.77;0.55
RENT3.SA;5.64;6.53;0.5
RDOR3.SA;4.7;6.29;0.44
PRIO3.SA;5.63;6.5;0.49
CSAN3.SA;7.42;6.9;0.58
HAPV3.SA;3.32;7.24;0.66
GGBR4.SA;12.1;7.03;0.61
SBSP3.SA;2.37;5.42;0.24
